Angle (deg),Distance (mm),X (mm),Y (mm)
314,2198.0,1526.8590982688745,-1581.1088811443565
324,242.0,195.78211263873726,-142.24403105477856
33,149.0,124.96191462386818,81.15121621723904
34,61.0,50.571291925857544,34.11076711171556
35,405.0,331.7565779370417,232.29845672217365
36,112.0,90.60990336999411,65.83194825675699
69,448.0,160.54884139629456,418.24403107074636
70,487.0,166.5638097996007,457.63030632273734
73,2414.0,705.7852952006865,2308.5196808947676
74,2448.0,674.760247040014,2353.168631657005
177,140.0,-139.80813486564034,7.327033874012133
178,201.0,-200.87755623083825,7.01479883720264
179,198.0,-197.96984364096548,3.455576474582121
180,195.0,-195.0,2.388061258337339e-14
181,192.0,-191.97075747002714,-3.350862035958373
182,190.0,-189.88425713362818,-6.630904373475171
213,387.0,-324.5655097948791,-210.7753065508155
216,128.0,-103.55417527999327,-75.23651229343655
254,225.0,-62.01840505882475,-216.28388158612177
285,914.0,236.56060722370432,-882.8562052282083
286,1037.0,285.83593798222836,-996.8283786880365
287,1031.0,301.43522756914155,-985.9502033978895
288,108.0,33.3738353924943,-102.7141037598766
326,128.0,106.1168092870453,-71.57669164425566
328,103.0,87.34895390411182,-54.58168421602019
4,1026.0,1023.5007155665796,71.57014206147257
